nu,I
1371935418.13607,2.945836992131486e-25
1371967008.48019,2.945809012221254e-25
1371998599.55171,2.9457789985290005e-25
1372030191.35065,2.9457490156516263e-25
1372061783.87703,2.9457199880355045e-25
1372093377.13086,2.9456900051581303e-25
1372124971.11217,2.945660022280756e-25
1372156565.82095,2.9456300085885027e-25
1372188161.25725,2.945600980972381e-25
1372219757.42106,2.9455709980950067e-25
1372251354.31241,2.9455409844027534e-25
1372282951.93131,2.94551201841639e-25
1372314550.27778,2.9454800017569943e-25
1372346149.35184,2.9454510049557516e-25
1372377749.1535,2.9454209912634983e-25
1372409349.68279,2.945391008386124e-25
1372440950.93971,2.94535997780286e-25
1372472552.92429,2.945331997892628e-25
1372504155.63653,2.945300998124243e-25
1372535759.07647,2.9452699983558583e-25
1372567363.24411,2.9452410015546156e-25
1372598968.13947,2.9452100017862308e-25
1372630573.76257,2.945179002017846e-25
1372662180.11342,2.9451489883255926e-25
1372693787.19205,2.9451189746333392e-25
1372725394.99846,2.9450880056798335e-25
1372757003.53268,2.94505799198758e-25
1372788612.79472,2.945028009110206e-25
1372820222.7846,2.944997009341821e-25
1372851833.50234,2.944965978758557e-25
1372883444.94794,2.944935995881183e-25
1372915057.12143,2.944904996112798e-25
1372946670.02283,2.9448730102682817e-25
1372978283.65215,2.944842010499897e-25
1373009898.00942,2.944811010731512e-25
1373041513.09464,2.944777977181106e-25
1373073128.90783,2.9447460221514685e-25
1373104745.449,2.9447119717100518e-25
1373136362.71819,2.944677027637141e-25
1373167980.7154,2.944641005043461e-25
1373199599.44065,2.9446019934065075e-25
1373231218.89395,2.9445599927262803e-25
1373262839.07533,2.9445139861117688e-25
1373294459.9848,2.9444650212688627e-25
1373326081.62238,2.9444079829276297e-25
1373357703.98807,2.9443420082714548e-25
1373389327.08191,2.94426598796469e-25
1373420950.90391,2.9441769945938197e-25
1373452575.45408,2.9440740112678334e-25
1373484200.73244,2.9439489953032833e-25
1373515826.739,2.9438020083299277e-25
1373547453.47379,2.9436259937404502e-25
1373579080.93682,2.9434150042631827e-25
1373610709.12812,2.9431659892250932e-25
1373642338.04768,2.942871984463503e-25
1373673967.69553,2.9425259950008536e-25
1373705598.0717,2.942122011935719e-25
1373737229.17619,2.9416529786607826e-25
1373768861.00902,2.9411109757521134e-25
1373800493.5702,2.940491997275427e-25
1373832126.85977,2.9397920064815597e-25
1373863760.87772,2.939002991501943e-25
1373895395.62409,2.9381250139663354e-25
1373927031.09887,2.9371550232017047e-25
1373958667.3021,2.9360920023170403e-25
1373990304.23379,2.9349380159092425e-25
1374021941.89396,2.933695991391827e-25
1374053580.28262,2.9323740022631205e-25
1374085219.39978,2.9309760236425282e-25
1374116859.24547,2.929516014670287e-25
1374148499.81971,2.927998998171692e-25
1374180141.1225,2.926443000851023e-25
1374211783.15388,2.9248590236201215e-25
1374243425.91384,2.9232620116953565e-25
1374275069.40241,2.921665985846723e-25
1374306713.61961,2.920086014550106e-25
1374338358.56546,2.918537998283126e-25
1374370004.23997,2.9170320135112527e-25
1374401650.64315,2.915583005450854e-25
1374433297.77502,2.914200002861509e-25
1374464945.6356,2.9128920036879187e-25
1374496594.22492,2.911665016831509e-25
